covariate,coef,lo,hi
intercept,-0.42204138060028845,-0.5146479419222142,-0.3259896772559273
age,0.006911164984979559,0.005893207117728107,0.008099191469174068
sex,0.11328027597050896,0.09462350321833682,0.13010776934245535
obstruct,0.007825197513069286,-0.0158584564488983,0.03550906333290804
perfor,0.017211552099030185,-0.03436551008078119,0.06384387522120684
adhere,0.009472894891136572,-0.013287194266844654,0.03745792721208141
nodes,0.04701396305752565,0.04165515601573105,0.05538050108624715
differ,0.006680663901441915,-0.011766528841046642,0.022904640174930473
extent,0.01607070985110128,-0.005397105670027795,0.034636147592013396
surg,-0.027717160495490976,-0.04865313051679187,-0.007722437049880478
